docname,from,to,pre,keyword,post,pattern
BEN,5413,5413,concerning biodiversity management exploiting traditional knowledge regards biological diversity carbon sinks introducing climate issues development plans policies strategies programs projects training informing stakeholders decision makers,health,workers populations local effects climate protectng socio economic systems degradation coastal area sea level rise building various levels interpret communicate relevant climatic information advise local,health
BEN,5449,5449,coastal area sea level rise building various levels interpret communicate relevant climatic information advise local communities promoting adaptation climate variability climate related risks training stakeholders,medical,pyramid regards climate health developing information monitoring system climate health human settlements technical building regards public administration civil society organizations communities local risks vulnerabilities formulating,health
BEN,5453,5453,rise building various levels interpret communicate relevant climatic information advise local communities promoting adaptation climate variability climate related risks training stakeholders medical pyramid regards climate,health,developing information monitoring system climate health human settlements technical building regards public administration civil society organizations communities local risks vulnerabilities formulating climate sensitive development plans,health
BEN,5459,5459,relevant climatic information advise local communities promoting adaptation climate variability climate related risks training stakeholders medical pyramid regards climate health developing information monitoring system climate,health,human settlements technical building regards public administration civil society organizations communities local risks vulnerabilities formulating climate sensitive development plans policies promoting building knowledge regards climate,health
BEN,5493,5493,society organizations communities local risks vulnerabilities formulating climate sensitive development plans policies promoting building knowledge regards climate awareness raising risk management development gender sensitive policies,health,funding national resources public funds private investments supplemented external financial support bilateral multilateral estimated overall cost implementation plans programs projects registered ndc totals million dollars,health
BEN,6323,6323,management developing multi purpose hydraulic infrastructures sustainable water resources management project gap developing middle lower valley ouémé river project gap reducing pregnant women five vulnerability,diseases,related climate risks measure identified napa yet implemented reduction morbidity mortality linked paludism diseases related climate risks shoreline protection project regards sea level rise coastal,health
BEN,6333,6333,project gap developing middle lower valley ouémé river project gap reducing pregnant women five vulnerability diseases related climate risks measure identified napa yet implemented reduction,morbidity,mortality linked paludism diseases related climate risks shoreline protection project regards sea level rise coastal erosion measure identified napa yet implemented napa adressing sedimentary imbalance,health
BEN,6334,6334,gap developing middle lower valley ouémé river project gap reducing pregnant women five vulnerability diseases related climate risks measure identified napa yet implemented reduction morbidity,mortality,linked paludism diseases related climate risks shoreline protection project regards sea level rise coastal erosion measure identified napa yet implemented napa adressing sedimentary imbalance thinning,health
BEN,6337,6337,lower valley ouémé river project gap reducing pregnant women five vulnerability diseases related climate risks measure identified napa yet implemented reduction morbidity mortality linked paludism,diseases,related climate risks shoreline protection project regards sea level rise coastal erosion measure identified napa yet implemented napa adressing sedimentary imbalance thinning retreat fragile ecosystems,health
BEN,6907,6907,adaptation component strenghtening system climate related risks prediction early warning food security vulnerable agro ecological areas mobilizing water climate adaptation micro dams controlling climate sensitive,diseases,protecting shoreline regards sea level rise coastal erosion strenghtening local gouvernance regards financing climate adaptation building regards climate observation building resilience low lying coastal cities,health
BFA,855,855,process develope national adaptation plan nap structured around results analysing vulnerability climate sectors identified priority agriculture livestock breeding water forests natural ecosystems energy infrastructure housing,health,etc climate scenarios time framework support indc indc need nama framework need quantitative evaluation mitigation potential led develop nama framework case national rural sector program,health
BFA,2430,2430,necessarily improvement capability adapt conditions exist now rise average severe dry seasons strongly less predictable rainy seasons growing problem drought lowering groundwater table increase certain,diseases,scenario prepared trend situation business usual climate effects burkina must confront already begun positive effects possible mitigation envisaged point forward either local global level felt,health
BFA,2792,2792,animal husbandry biomass energy forests land use general afolu incorporate transversal associated particular adaptive research within sectors table shows adaptation sectors areas housing urban development,health,management extreme climatic events basic data serving model come reviewed relevant documentation available provided national competent ministries annex provides details adaptation projects proposed indc framework,health
BFA,3411,3411,capitals energy efficiency urban rural housing administrative buildings regional capitals kwh climate adaptation architecture construction technologies urban communities unit research restoration development green belt city,health,sector strengthening capabilities forecast respond phenomena associated climate total mill cfa francs entire country framework support indc indc development research health climate total mill cfa,health
BFA,3432,3432,development green belt city health sector strengthening capabilities forecast respond phenomena associated climate total mill cfa francs entire country framework support indc indc development research,health,climate total mill cfa francs entire country strengthening capabilities relating diseases sensitive climate training specialists mill cfa francs entire country strengthening capabilities forecast respond phenomena,health
BFA,3443,3443,associated climate total mill cfa francs entire country framework support indc indc development research health climate total mill cfa francs entire country strengthening capabilities relating,diseases,sensitive climate training specialists mill cfa francs entire country strengthening capabilities forecast respond phenomena associated climate creation health monitoring mill cfa francs entire country strengthening,health
BFA,3461,3461,cfa francs entire country strengthening capabilities relating diseases sensitive climate training specialists mill cfa francs entire country strengthening capabilities forecast respond phenomena associated climate creation,health,monitoring mill cfa francs entire country strengthening early warning system management extreme climate events technologies climatic meteorological environmental monitoring training radar training etc entire national,health
BFA,3766,3766,environmental gains financial gains explains difficulty understanding negative zero costs projects within option financial value negative overall value zero positive one takes economic productive public,health,environmental effects produce implementation optional context unconditional current trend bau scenarios examples obvious interest concern improved cook stove advanced cook stove projects framework support indc,health
BFA,3845,3845,feasible context conditional external financing scenario project costly profitable certain scale economies scale generate external support needed high investment cost project financially profitable economic public,health,environmental benefits implementation almost necessarily external financial assistance high cost relationships economic options mitigation adaptation options investments mitigation adaptation projects financially profitable country need external,health
BFA,4051,4051,much improved cook stove used means user cook stove devote original time profitable thus increase income use improved cook stoves households users reduce exposure respiratory,diseases,caused smoke carbon dioxide carbon monoxide case may previously exposed increase health capital income previously devoted health care saved thus enormous associated benefits cited projects,health
BFA,4063,4063,profitable thus increase income use improved cook stoves households users reduce exposure respiratory diseases caused smoke carbon dioxide carbon monoxide case may previously exposed increase,health,capital income previously devoted health care saved thus enormous associated benefits cited projects financed within framework conditional scenario need external financial help framework support indc,health
BFA,4068,4068,improved cook stoves households users reduce exposure respiratory diseases caused smoke carbon dioxide carbon monoxide case may previously exposed increase health capital income previously devoted,health,care saved thus enormous associated benefits cited projects financed within framework conditional scenario need external financial help framework support indc indc methodology analysis objectives aims,health
BFA,4637,4637,associated speedier cooking household preparer meals save time use income producing work much double counted financial benefit use improved cook stoves local rural populations improve,health,respiratory diseases caused carbon monoxide avoid households principally women save costs incurred health care waste additional source energy well new source regular jobs cities able,health
BFA,4639,4639,cooking household preparer meals save time use income producing work much double counted financial benefit use improved cook stoves local rural populations improve health respiratory,diseases,caused carbon monoxide avoid households principally women save costs incurred health care waste additional source energy well new source regular jobs cities able get rid,health
BFA,4650,4650,double counted financial benefit use improved cook stoves local rural populations improve health respiratory diseases caused carbon monoxide avoid households principally women save costs incurred,health,care waste additional source energy well new source regular jobs cities able get rid wastes good population forests land use forest investment invaluable agroforestry preservation,health
BFA,4854,4854,adapted climate conditions local materials savings wood resources turn strengthens conservation forests biodiversity investments energy efficiency savings energy budgets public entities homes improving overall comfort,health,investment national capabilities prevent monitor manage climate related diseases undoubtedly improves overall productivity economy increases national production healthy workers consume fewer resources care produce better,health
BFA,4863,4863,strengthens conservation forests biodiversity investments energy efficiency savings energy budgets public entities homes improving overall comfort health investment national capabilities prevent monitor manage climate related,diseases,undoubtedly improves overall productivity economy increases national production healthy workers consume fewer resources care produce better government better controls social costs climate renewable energy pm,health
BFA,4973,4973,sectoral projects source august estimates table adaptation mitigation framework support indc indc figure representation proportions adaptation scenario projects sector investment implementation costs key light blue,health,dark blue agriculture water red animal husbandry green biomass energy energy waste recycling purple forests land use orange housing urban development lower light blue strenthening,health
BFA,5234,5234,plans generate early seasonal warnings early warning system degraded land forest grazing purposes investment animal husbandry strengthening capabilities forecast respond phenomena associated climate total nine,health,energy efficiency urban rural housing housing urban development mowing storage tons coarse fodder crop residues animal husbandry establishment classification regionally focussed biodiversity conservation areas regions,health
BFA,5384,5384,risk zones settlements adaptation climate housing urban development development irrigated areas exploitation intensive rice cultivation system agriculture water recovery solid wastes city landfill development research,health,climate total three health audit plans develop classified protected forests updating purposes forests land use strengthening capabilities forecast respond phenomena associated climate creation health care,health
BFA,5388,5388,climate housing urban development development irrigated areas exploitation intensive rice cultivation system agriculture water recovery solid wastes city landfill development research health climate total three,health,audit plans develop classified protected forests updating purposes forests land use strengthening capabilities forecast respond phenomena associated climate creation health care monitoring health participative development,health
BFA,5408,5408,research health climate total three health audit plans develop classified protected forests updating purposes forests land use strengthening capabilities forecast respond phenomena associated climate creation,health,care monitoring health participative development sustainable land management technologies adaptive climate forests land use strengthening capabilities regard diseases sensitive climate training specialists health protection stream,health
BFA,5411,5411,total three health audit plans develop classified protected forests updating purposes forests land use strengthening capabilities forecast respond phenomena associated climate creation health care monitoring,health,participative development sustainable land management technologies adaptive climate forests land use strengthening capabilities regard diseases sensitive climate training specialists health protection stream banks biomass energy,health
BFA,5426,5426,capabilities forecast respond phenomena associated climate creation health care monitoring health participative development sustainable land management technologies adaptive climate forests land use strengthening capabilities regard,diseases,sensitive climate training specialists health protection stream banks biomass energy waste recovery energy forests land use source august estimates table adaptation mitigation sources conditions financing,health
BFA,5431,5431,climate creation health care monitoring health participative development sustainable land management technologies adaptive climate forests land use strengthening capabilities regard diseases sensitive climate training specialists,health,protection stream banks biomass energy waste recovery energy forests land use source august estimates table adaptation mitigation sources conditions financing multiple sources financing projects within,health
BFA,5712,5712,ministries projects ministry agriculture ministry water resources ministry animal resources ministry environment forests ministry public responsible scientific research technological innovation ministry housing urban development ministry,health,ministry energy ministry transportation coordination unit work departments cross ministries ministry economy finance ministry promotion women gender ministry international within framework financing agreements coordinate civil,health
BFA,6241,6241,community nations despite low emissions carbon ghg comparison worldwide emissions assumes responsibility emissions emits particularly afolu sector despite cost reducing emissions ratio investment cost benefit,health,social benefits food security high burkina government fully intends undertake major mitigation energy sector adaptation rural sector sectors health housing order help reduce emissions reducing,health
BFA,6260,6260,reducing emissions ratio investment cost benefit health social benefits food security high burkina government fully intends undertake major mitigation energy sector adaptation rural sector sectors,health,housing order help reduce emissions reducing vulnerability strategic sectors economy indc ambitious goes beyond bau scenario moves toward two scenarios unconditional hybrid conditional integrate mitigation,health
BFA,7246,7246,rural semi rural areas private dwellings community buildings energy efficiency urban rural housing gain kwh indefinite architectural construction technologies adapted climate non quantified targets indefinite,health,sector strengthening capabilities forecast respond phenomena associated climate total non quantified targets development research health climate non quantified targets strengthening competencies respect diseases sensitive climate,health
BFA,7261,7261,indefinite architectural construction technologies adapted climate non quantified targets indefinite health sector strengthening capabilities forecast respond phenomena associated climate total non quantified targets development research,health,climate non quantified targets strengthening competencies respect diseases sensitive climate training specialists strengthening capabilities forecast respond phenomena associated climate creation health monitoring health monitoring framework,health
BFA,7269,7269,targets indefinite health sector strengthening capabilities forecast respond phenomena associated climate total non quantified targets development research health climate non quantified targets strengthening competencies respect,diseases,sensitive climate training specialists strengthening capabilities forecast respond phenomena associated climate creation health monitoring health monitoring framework support indc indc adaptation projects integrated adaptation scenario,health
BFA,7282,7282,quantified targets development research health climate non quantified targets strengthening competencies respect diseases sensitive climate training specialists strengthening capabilities forecast respond phenomena associated climate creation,health,monitoring health monitoring framework support indc indc adaptation projects integrated adaptation scenario projects scenarios net emissions cost investment targets number beneficiaries project cost beneficiary hydro,health
BFA,7284,7284,development research health climate non quantified targets strengthening competencies respect diseases sensitive climate training specialists strengthening capabilities forecast respond phenomena associated climate creation health monitoring,health,monitoring framework support indc indc adaptation projects integrated adaptation scenario projects scenarios net emissions cost investment targets number beneficiaries project cost beneficiary hydro stations stations,health
BGD,1726,1726,vulnerability index ccvi calculated vulnerability countries climate next reveals vulnerable country climate climate adaptation key priority country already undertaken initiatives mainstream adaptation national development water,health,forestry agriculture prominently infrastructure sectors already host climate including floods storm surges drought river bank erosion example floods inundated sq km leading houses destroyed almost,health
BGD,1759,1759,climate including floods storm surges drought river bank erosion example floods inundated sq km leading houses destroyed almost million damaged million crops destroyed partially damaged,deaths,estimated damage billion climate drastically economic growth country instance asian development bank estimated may gdp annual loss climate adaptation goal primary goal adaptation protect population,health
BGD,1795,1795,development bank estimated may gdp annual loss climate adaptation goal primary goal adaptation protect population adaptive livelihood options protect overall development country stride economic progress,wellbeing,people adaptation past present last three decades government invested billion constant prices make country climate resilient less vulnerable natural disasters flood management embankments coastal polders,health
BGD,1879,1879,partners submitted national adaptation programme napa revised prepared climate plan climate strategy plan expectations near term plans key areas address adverse climate food security livelihood,health,protection incl water security comprehensive disaster management coastal zone management including salinity intrusion control flood control erosion protection building climate resilient infrastructure increased rural electrification,health
BGD,2020,2020,bodies drains ix stress tolerant salinity drought flood variety improvement cultivation including livestock fisheries research knowledge management xi adaptation local level etc xii adaptation climate,health,xiii biodiversity ecosystem conservation xiv building individual level plan implement adaptation programmes projects country already developed considerable infrastructure capability address climate induced vulnerabilities disaster risk,health
BGD,2753,2753,well new adaptation needs based current nap roadmap five plan examples specific adaptation related costs set table estimated costs key adaptation measures food security livelihood,health,protection incl water security comprehensive disaster management salinity intrusion coastal protection river flood erosion protection building climate resilient infrastructure rural electrification urban resilience ecosystem based,health
BHR,482,482,solar wind sources underway climate already observed elaborated second national communication kingdom undertaken climate vulnerability assessments addressed four key areas coastal zones water resources human,health,biodiversity choice implement urgent measures build resilience improve disaster risk preparedness response adapt increasingly adverse climate indeed substantially higher costs associated adaptation climate initially delayed,health
BHR,651,651,use biodiversity integrated national education curricula adaptation mitigation co benefits considers adaptation mitigation co benefits increase climate resilience carbon sinks assist protection water resources generally,health,people kingdom planning undertake following adapt environmental social issues also reduction emissions water conservation sustainable urban planning ministry electricity water water conservation initiative project involves,health
BHS,55,55,nations framework convention climate unfccc introductio since becoming sovereign independent small island developing made tremendous strides providing universal education potable water supplies telecommunications electricity transportation,health,care citizenr cross entire commonwealth passage joaquin powerful category storm october intensity particular highlights vulnerability country joaquin caused extensive damage need rebuild power telecommunications grids,health
BHS,87,87,joaquin powerful category storm october intensity particular highlights vulnerability country joaquin caused extensive damage need rebuild power telecommunications grids several repair docks roadways homes schools,medical,initial estimate cost damaged compromised infrastructure affected five ten thousand carries cost exceeding eighty million dollars mb including cost climate considerations redevelopment adverse climate limited,health
BHS,1314,1314,food security sustainable food production tourism work stakeholders tourism sector develop strategic plan incorporates climate considerations appropriate measures water conservation programmes well general sustainability concerns,health,wellbeing human settlement including housing design critical infrastructure roads bridges air sea ports inform sensitize educate health public large climate related health matters including ot,health
BHS,1315,1315,security sustainable food production tourism work stakeholders tourism sector develop strategic plan incorporates climate considerations appropriate measures water conservation programmes well general sustainability concerns health,wellbeing,human settlement including housing design critical infrastructure roads bridges air sea ports inform sensitize educate health public large climate related health matters including ot limited,health
BHS,1331,1331,measures water conservation programmes well general sustainability concerns health wellbeing human settlement including housing design critical infrastructure roads bridges air sea ports inform sensitize educate,health,public large climate related health matters including ot limited eat tress vector borne diseases vulnerable sub sector society ensure national emergency management planning also include,health
BHS,1336,1336,general sustainability concerns health wellbeing human settlement including housing design critical infrastructure roads bridges air sea ports inform sensitize educate health public large climate related,health,matters including ot limited eat tress vector borne diseases vulnerable sub sector society ensure national emergency management planning also include heat stress vectors human settlements,health
BHS,1345,1345,design critical infrastructure roads bridges air sea ports inform sensitize educate health public large climate related health matters including ot limited eat tress vector borne,diseases,vulnerable sub sector society ensure national emergency management planning also include heat stress vectors human settlements wellbeing develop comprehensive national land use management plan inter,health
BHS,1362,1362,matters including ot limited eat tress vector borne diseases vulnerable sub sector society ensure national emergency management planning also include heat stress vectors human settlements,wellbeing,develop comprehensive national land use management plan inter alia incorporates climate concerns regulates location settlements urban developments compromising water supply uch sustainability establishing environmental guidelines,health
BHS,1559,1559,principle common differentiated responsibilities respective capabilities convention mb ition small island developing provision essential service residents economic drives ambition investments protect universal potable water education,health,services critical transportation systems rchipelago using national resources taken steps preserve way life time recognize obligation present yet unborn citizens take steps reduce national ghg,health
BLR,1019,1019,balance natural systems sustainable use protected areas covering least territory country adaptation measures forestry agriculture sectors vulnerable climate considering influence climate sustainable development economy well,health,population country formulating national policy adaptation climate elaboration national strategies sector specific regional programmes plans adaptation climate implementation far strategy adaptation forestry climate developed strategy,health
BLR,1082,1082,fast response emergency situations current risks related climate inclusion adaptation measures sector specific programmes programmes socioeconomic development administrative territories developed programmes adaptation developed part recreation,health,promotion territorial development planning transport infrastructure development urban planning projects general special detailed planning assistance developing countries supported support developing nations mainly area awareness raising,health
BLZ,839,839,improved waste management processes line waste management strategy implemented nationwide mitigate effect climate prevent water air also improving environment image eco tourism market protecting public,health,information clarity transparency understanding decision small island developing may communicate information strategies plans low greenhouse gas emission development considers upfront information provided addresses sectors greenhouse,health
BLZ,1355,1355,industry largely nature based dependent natural resources primarily affected extreme weather events flooding inundation salt water intrusion erosion occur result rising sea levels climate threaten,health,coral reefs affect water supplies physical critical sustainability sector combined effects reduced tourism demand loss infrastructure loss loss barrier reef result reduced income million addressing,health
BLZ,1464,1464,options integrated vulnerability adaptation assessment singh et al made several cross linkages impending climate six priority development sectors namely coastal development agriculture water tourism fisheries,health,highlighting extreme vulnerability building vulnerability adaptation assessments several key national sectoral policies strategies plans developed updated incorporate climate effort resilience core objective building resilience order,health
BLZ,1519,1519,climate key sectors economic society environment policy specifically recognized negative effects social economic productive sectors coastal zone human settlement fisheries agriculture forestry tourism water energy,health,physical environment including land infrastructure roads coastal structures well sustainability natural resources marine coastal areas natural ecosystems biodiversity regard policy implemented goal guiding short long,health
BLZ,1619,1619,term resilience longer term thus strategies prioritized sector implemented within sectors focus agriculture forestry fisheries coastal marine resources water resources land use human settlements human,health,energy tourism transportation geared towards production maintaining healthy ecosystems encouraging sustainable exploitation resources supporting integrated development planning assessing addressing vulnerabilities development tools drive efficiency promote,health
BLZ,1862,1862,towards increasing resilience reducing vulnerability livelihoods respect critical infrastructure tourism food security sustainable forest management protected areas management coastal marine resources water scarcity energy security,health,priority sectors main implemented build resilience coastal marine resources increase strengthen czmai municipal ensure developments within coastal urban areas include adaptation strategy implement mangrove restoration,health
BLZ,2090,2090,regulations revise adopt mangrove regulations eia regulations support mangrove fisheries conservation management plans protect sea grass beds monitor compliance eia regulation coastal mangroves alterations human,health,undertake climate vulnerability assessment health sector improve capture management monitoring diseases vectors affected increase human resource improve efficiency develop education awareness program educate population adaptation,health
BLZ,2095,2095,eia regulations support mangrove fisheries conservation management plans protect sea grass beds monitor compliance eia regulation coastal mangroves alterations human health undertake climate vulnerability assessment,health,sector improve capture management monitoring diseases vectors affected increase human resource improve efficiency develop education awareness program educate population adaptation measures improve disease control prevention,health
BLZ,2101,2101,management plans protect sea grass beds monitor compliance eia regulation coastal mangroves alterations human health undertake climate vulnerability assessment health sector improve capture management monitoring,diseases,vectors affected increase human resource improve efficiency develop education awareness program educate population adaptation measures improve disease control prevention promote investment health infrastructure forestry maintain,health
BLZ,2118,2118,vulnerability assessment health sector improve capture management monitoring diseases vectors affected increase human resource improve efficiency develop education awareness program educate population adaptation measures improve,disease,control prevention promote investment health infrastructure forestry maintain restore healthy forest ecosystems sustainable forest management increasing afforestation reforestation order increase resilience human communities gaps barriers,health
BLZ,2123,2123,capture management monitoring diseases vectors affected increase human resource improve efficiency develop education awareness program educate population adaptation measures improve disease control prevention promote investment,health,infrastructure forestry maintain restore healthy forest ecosystems sustainable forest management increasing afforestation reforestation order increase resilience human communities gaps barriers needs building education awareness public,health
BLZ,2259,2259,adaptation strategies recognized need shift general public awareness education community based environmental education programmes address specific issues concerns needs tie critical success gsds sustained improved,health,natural environmental historical cultural assets research monitoring climate depends availability high quality scientific information climate data science information knowledge critical elements development climate many government,health
